Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Correct Answer(s),Time Limit (sec) (Max: 300 seconds)
44,Chữ「我」có nghĩa là gì?,KHÔNG,NĂM,"KỲ, TUẦN",TÔI,4,20
45,Chữ「工」có nghĩa là gì?,"CÔNG, VIỆC, CÔNG VIỆC, THỢ","ĐÂY, CÁI NÀY","MUỐN, CẦN, YÊU CẦU","CHỮ, VĂN TỰ",1,20
46,Chữ「作」có nghĩa là gì?,"LÀM, TẠO RA, SÁNG TẠO, LÀM VIỆC",ANH ẤY,"CÂY, GỖ","PHÁT, PHÁT TRIỂN",1,20
47,Chữ「日」có nghĩa là gì?,KINH,"NÀO, ĐÂU","GẠO, MÉT","MẶT TRỜI, NGÀY",4,20
48,Chữ「是」có nghĩa là gì?,ĐÚNG,"LÀ, ĐÚNG, PHẢI","Ở GIỮA, TRUNG TÂM",BỐ,2,20
49,Chữ「这」có nghĩa là gì?,TÔI,"Ở GIỮA, TRUNG TÂM",TRỢ TỪ SỐ NHIỀU DÙNG SAU ĐẠI TỪ HOẶC TỪ CHỈ NGƯỜI,"ĐÂY, CÁI NÀY",4,20
50,Chữ「进」có nghĩa là gì?,"LUYỆN TẬP, HỌC",NGÔN NGỮ,BẮC,"VÀO, TIẾN VÀO",4,20
51,Chữ「老」có nghĩa là gì?,"SINH, SỐNG",NĂM,"GIÀ, LỚN TUỔI","MẤT, CHẾT",3,20
52,Chữ「师」có nghĩa là gì?,"CON, ĐỨA TRẺ","THẦY, GIÁO VIÊN","VĂN, CHỮ VIẾT","QUAY LẠI, TRỞ VỀ",2,20
53,Chữ「身」có nghĩa là gì?,TÁM,"THÂN, CƠ THỂ",NĂM,SÁNG,2,20
54,Chữ「体」có nghĩa là gì?,"TRỜI, NGÀY","THÂN THỂ, CƠ THỂ","CHỮ, VĂN TỰ",TỐT,2,20
55,Chữ「上」có nghĩa là gì?,"TRỜI, NGÀY","TRÊN, LÊN","NƯỚC, QUỐC GIA","KỲ, TUẦN",2,20
56,Chữ「下」có nghĩa là gì?,RƯỢU,"DƯỚI, XUỐNG",TỐT,HÁN,2,20
57,Chữ「月」có nghĩa là gì?,ĐI,CŨNG,"MẶT TRĂNG, THÁNG",BẮC,3,20
58,Chữ「生」có nghĩa là gì?,"GỌI, KÊU","PHÁT, PHÁT TRIỂN","SINH, SỐNG","ÂM, ÂM THANH",3,20
59,Chữ「了」có nghĩa là gì?,TRỢ TỪ HOÀN THÀNH,"GẠO, MÉT","TRÊN, LÊN",NĂM,1,20
60,Chữ「木」có nghĩa là gì?,"CÂY, GỖ","HÔM NAY, BÂY GIỜ",MIỆNG,KINH,1,20
61,Chữ「休」có nghĩa là gì?,"KIA, ĐÓ",TRỢ TỪ SỐ NHIỀU DÙNG SAU ĐẠI TỪ HOẶC TỪ CHỈ NGƯỜI,"SÁCH, VIẾT",NGHỈ NGƠI,4,20
62,Chữ「亡」có nghĩa là gì?,"GÓI, BAO, BỌC, CHỨA ĐỰNG","MẤT, CHẾT",ĂN,RẤT,2,20
63,Chữ「也」có nghĩa là gì?,BẢY,ĐI,CŨNG,MẸ,3,20
64,Chữ「又」có nghĩa là gì?,BẠN BÈ,"HÔM NAY, BÂY GIỜ","LẠI, NỮA","ÂM, ÂM THANH",3,20
65,Chữ「子」có nghĩa là gì?,KINH,CỬA,"TÊN, TÊN GỌI","CON, ĐỨA TRẺ",4,20
66,Chữ「小」có nghĩa là gì?,CÔ ẤY,RƯỢU,"VÀO, TIẾN VÀO","NHỎ, BÉ",4,20
67,Chữ「回」có nghĩa là gì?,NGƯỜI,"TRÊN, LÊN","QUAY LẠI, TRỞ VỀ","QUÁ, LẮM",3,20
68,Chữ「校」có nghĩa là gì?,TRƯỜNG HỌC,NGÔN NGỮ,"PHÁT, PHÁT TRIỂN",BẠN BÈ,1,20
69,Chữ「那」có nghĩa là gì?,"MỘT ÍT, VÀI, MỘT SỐ",SÁNG,"KIA, ĐÓ","PHÁT, PHÁT TRIỂN",3,20
70,Chữ「哪」có nghĩa là gì?,"NÀO, ĐÂU",KINH,"CƠM, THỨC ĂN","LÀ, ĐÚNG, PHẢI",1,20
71,Chữ「十」có nghĩa là gì?,NĂM,"LÀM, TẠO RA, SÁNG TẠO, LÀM VIỆC",MƯỜI,HỌC,3,20
72,Chữ「昨」có nghĩa là gì?,BẠC,KHÔNG (TRỢ TỪ),BỐN,HÔM QUA,4,20
73,Chữ「谢」có nghĩa là gì?,RẤT,HÔM QUA,"LẠI, NỮA","CẢM ƠN, XIN LỖI, TỪ CHỐI, TÀN",4,20
74,Chữ「人」có nghĩa là gì?,NGƯỜI,"VÀO, TIẾN VÀO","KIA, ĐÓ","ĐẦU, ĐỒNG (TIỀN)",1,20
75,Chữ「问」có nghĩa là gì?,HỎI,"CHỮ, VĂN TỰ","CƠM, THỨC ĂN","Ở GIỮA, TRUNG TÂM",1,20
76,Chữ「叫」có nghĩa là gì?,"MẤY, BAO NHIÊU","GỌI, KÊU",GẶP,NGÂN HÀNG,2,20
77,Chữ「门」có nghĩa là gì?,CỬA,"MẶT TRỜI, NGÀY",SÁU,TRƯA,1,20
78,Chữ「们」có nghĩa là gì?,TRỢ TỪ SỐ NHIỀU DÙNG SAU ĐẠI TỪ HOẶC TỪ CHỈ NGƯỜI,MƯỜI,HÔM QUA,"THẦY, GIÁO VIÊN",1,20
79,Chữ「名」có nghĩa là gì?,"LẠI, NỮA","MẤT, CHẾT",NGÂN HÀNG,"TÊN, TÊN GỌI",4,20
80,Chữ「字」có nghĩa là gì?,"CHỮ, VĂN TỰ",HÔM QUA,ANH ẤY,"QUAY LẠI, TRỞ VỀ",1,20
81,Chữ「国」có nghĩa là gì?,RƯỢU,"NƯỚC, QUỐC GIA",MIỆNG,"GIÀ, LỚN TUỔI",2,20
82,Chữ「中」có nghĩa là gì?,BẬN,"VĂN, CHỮ VIẾT","Ở GIỮA, TRUNG TÂM",TÔI,3,20
83,Chữ「文」có nghĩa là gì?,"SINH, SỐNG",KHÔNG,"VĂN, CHỮ VIẾT","CHIA, PHÚT, PHÂN",3,20
84,Chữ「习」có nghĩa là gì?,TRẮNG,CÔ ẤY,"CÁI, LƯỢNG TỪ","LUYỆN TẬP, HỌC",4,20
85,Chữ「发」có nghĩa là gì?,"MẶT TRỜI, NGÀY",NGÔN NGỮ,"PHÁT, PHÁT TRIỂN","GÓI, BAO, BỌC, CHỨA ĐỰNG",3,20
86,Chữ「音」có nghĩa là gì?,"VĂN, CHỮ VIẾT","ÂM, ÂM THANH","CHỮ, VĂN TỰ",CHÍN,2,20
87,Chữ「朋」có nghĩa là gì?,BẠN BÈ,NGÂN HÀNG,"GỌI, KÊU",KHÔNG,1,20
88,Chữ「书」có nghĩa là gì?,"SÁCH, VIẾT",BẮC,CŨNG,"MẶT TRỜI, NGÀY",1,20
89,Chữ「个」có nghĩa là gì?,"CƠM, THỨC ĂN",BẠN BÈ,"CÁI, LƯỢNG TỪ","SINH, SỐNG",3,20
90,Chữ「午」có nghĩa là gì?,"CON, ĐỨA TRẺ",TO LỚN,TRƯA,"LÀM, TẠO RA, SÁNG TẠO, LÀM VIỆC",3,20
91,Chữ「头」có nghĩa là gì?,ANH ẤY,HAI,BẠC,ĐẦU,4,20
92,Chữ「米」có nghĩa là gì?,SAO,"TRỜI, NGÀY",KHÓ,"GẠO, MÉT",4,20
93,Chữ「吃」có nghĩa là gì?,ĂN,"THẦY, GIÁO VIÊN",HAI,KHÔNG (TRỢ TỪ),1,20
94,Chữ「要」có nghĩa là gì?,"CON, ĐỨA TRẺ","MUỐN, CẦN, YÊU CẦU","CÂY, GỖ",RƯỢU,2,20
95,Chữ「饭」có nghĩa là gì?,TRƯA,"CÁI, LƯỢNG TỪ","CƠM, THỨC ĂN",HỎI,3,20
96,Chữ「些」có nghĩa là gì?,"CÔNG, VIỆC, CÔNG VIỆC, THỢ","MỘT ÍT, VÀI, MỘT SỐ",GẶP,"NƯỚC, QUỐC GIA",2,20
97,Chữ「包」có nghĩa là gì?,MƯỜI,"HÔM NAY, BÂY GIỜ","GÓI, BAO, BỌC, CHỨA ĐỰNG","GẠO, MÉT",3,20
98,Chữ「酒」có nghĩa là gì?,RƯỢU,"Ở GIỮA, TRUNG TÂM","THẦY, GIÁO VIÊN","MẤT, CHẾT",1,20
99,Chữ「元」có nghĩa là gì?,BẠN BÈ,KHÔNG (TRỢ TỪ),"ĐẦU, ĐỒNG (TIỀN)","THẦY, GIÁO VIÊN",3,20
100,Chữ「毛」có nghĩa là gì?,"LÔNG, HÀO (TIỀN)",ANH ẤY,"NÀO, ĐÂU",HỌC,1,20
101,Chữ「分」có nghĩa là gì?,ĂN,"CHIA, PHÚT, PHÂN",HÔM QUA,SAO,2,20
102,"Chữ nào có nghĩa ""MỘT""?",星,一,吗,你,2,20
103,"Chữ nào có nghĩa ""TÁM""?",八,吃,作,北,1,20
104,"Chữ nào có nghĩa ""NĂM""?",天,五,四,个,2,20
105,"Chữ nào có nghĩa ""KHÔNG""?",回,发,书,不,4,20
106,"Chữ nào có nghĩa ""TO LỚN""?",老,国,大,她,3,20
107,"Chữ nào có nghĩa ""MIỆNG""?",难,口,头,习,2,20
108,"Chữ nào có nghĩa ""TRẮNG""?",五,元,这,白,4,20
109,"Chữ nào có nghĩa ""PHỤ NỮ""?",他,女,明,不,2,20
110,"Chữ nào có nghĩa ""BẠN""?",生,谢,哪,你,4,20
111,"Chữ nào có nghĩa ""TỐT""?",吃,亡,女,好,4,20
112,"Chữ nào có nghĩa ""NGỰA""?",谢,马,体,京,2,20
113,"Chữ nào có nghĩa ""QUÁ, LẮM""?",太,作,爸,个,1,20
114,"Chữ nào có nghĩa ""HÁN""?",汉,中,要,北,1,20
115,"Chữ nào có nghĩa ""NGÔN NGỮ""?",语,妈,今,元,1,20
116,"Chữ nào có nghĩa ""KHÔNG (TRỢ TỪ)""?",吗,回,语,北,1,20
117,"Chữ nào có nghĩa ""MẸ""?",身,些,妈,我,3,20
118,"Chữ nào có nghĩa ""BỐ""?",人,见,爸,九,3,20
119,"Chữ nào có nghĩa ""RẤT""?",太,很,天,子,2,20
120,"Chữ nào có nghĩa ""BẬN""?",忙,马,他,毛,1,20
121,"Chữ nào có nghĩa ""ANH ẤY""?",太,你,昨,他,4,20
122,"Chữ nào có nghĩa ""CÔ ẤY""?",名,汉,工,她,4,20
123,"Chữ nào có nghĩa ""KHÓ""?",午,二,不,难,4,20
124,"Chữ nào có nghĩa ""SÁU""?",六,不,忙,日,1,20
125,"Chữ nào có nghĩa ""BẢY""?",头,银,是,七,4,20
126,"Chữ nào có nghĩa ""CHÍN""?",九,几,中,那,1,20
127,"Chữ nào có nghĩa ""HỌC""?",妈,见,很,学,4,20
128,"Chữ nào có nghĩa ""ĐI""?",问,好,去,吃,3,20
129,"Chữ nào có nghĩa ""BẮC""?",文,北,明,是,2,20
130,"Chữ nào có nghĩa ""KINH""?",汉,天,京,谢,3,20
131,"Chữ nào có nghĩa ""ĐÚNG""?",对,校,小,六,1,20
132,"Chữ nào có nghĩa ""SÁNG""?",哪,们,明,子,3,20
133,"Chữ nào có nghĩa ""TRỜI, NGÀY""?",们,天,语,些,2,20
134,"Chữ nào có nghĩa ""GẶP""?",作,工,见,昨,3,20
135,"Chữ nào có nghĩa ""BẠC""?",几,小,银,很,3,20
136,"Chữ nào có nghĩa ""NGÂN HÀNG""?",要,工,行,木,3,20
137,"Chữ nào có nghĩa ""HAI""?",身,二,妈,这,2,20
138,"Chữ nào có nghĩa ""BA""?",个,难,问,三,4,20
139,"Chữ nào có nghĩa ""BỐN""?",四,你,银,头,1,20
140,"Chữ nào có nghĩa ""HÔM NAY, BÂY GIỜ""?",名,今,难,校,2,20
141,"Chữ nào có nghĩa ""ĐÓNG, TẮT""?",口,文,关,北,3,20
142,"Chữ nào có nghĩa ""SAO""?",书,文,二,星,4,20
143,"Chữ nào có nghĩa ""KỲ, TUẦN""?",期,难,好,哪,1,20
144,"Chữ nào có nghĩa ""MẤY, BAO NHIÊU""?",三,几,分,十,2,20
145,"Chữ nào có nghĩa ""TÔI""?",他,我,银,语,2,20
146,"Chữ nào có nghĩa ""CÔNG, VIỆC, CÔNG VIỆC, THỢ""?",叫,女,工,老,3,20
147,"Chữ nào có nghĩa ""LÀM, TẠO RA, SÁNG TẠO, LÀM VIỆC""?",七,几,作,去,3,20
148,"Chữ nào có nghĩa ""MẶT TRỜI, NGÀY""?",日,汉,午,我,1,20
149,"Chữ nào có nghĩa ""LÀ, ĐÚNG, PHẢI""?",今,是,头,期,2,20
150,"Chữ nào có nghĩa ""ĐÂY, CÁI NÀY""?",这,要,又,她,1,20
151,"Chữ nào có nghĩa ""VÀO, TIẾN VÀO""?",元,女,书,进,4,20
152,"Chữ nào có nghĩa ""GIÀ, LỚN TUỔI""?",这,学,国,老,4,20
153,"Chữ nào có nghĩa ""THẦY, GIÁO VIÊN""?",关,师,门,书,2,20
154,"Chữ nào có nghĩa ""THÂN, CƠ THỂ""?",关,了,一,身,4,20
155,"Chữ nào có nghĩa ""THÂN THỂ, CƠ THỂ""?",国,银,体,白,3,20
156,"Chữ nào có nghĩa ""TRÊN, LÊN""?",上,大,妈,门,1,20
157,"Chữ nào có nghĩa ""DƯỚI, XUỐNG""?",下,星,大,你,1,20
158,"Chữ nào có nghĩa ""MẶT TRĂNG, THÁNG""?",回,昨,们,月,4,20
159,"Chữ nào có nghĩa ""SINH, SỐNG""?",叫,生,元,人,2,20
160,"Chữ nào có nghĩa ""TRỢ TỪ HOÀN THÀNH""?",下,对,了,习,3,20
161,"Chữ nào có nghĩa ""CÂY, GỖ""?",三,人,今,木,4,20
162,"Chữ nào có nghĩa ""NGHỈ NGƠI""?",身,天,文,休,4,20
163,"Chữ nào có nghĩa ""MẤT, CHẾT""?",亡,四,个,身,1,20
164,"Chữ nào có nghĩa ""CŨNG""?",不,马,也,师,3,20
165,"Chữ nào có nghĩa ""LẠI, NỮA""?",五,不,月,又,4,20
166,"Chữ nào có nghĩa ""CON, ĐỨA TRẺ""?",好,子,忙,休,2,20
167,"Chữ nào có nghĩa ""NHỎ, BÉ""?",文,小,休,太,2,20
168,"Chữ nào có nghĩa ""QUAY LẠI, TRỞ VỀ""?",女,中,包,回,4,20
169,"Chữ nào có nghĩa ""TRƯỜNG HỌC""?",进,见,去,校,4,20
170,"Chữ nào có nghĩa ""KIA, ĐÓ""?",口,那,生,字,2,20
171,"Chữ nào có nghĩa ""NÀO, ĐÂU""?",些,九,学,哪,4,20
172,"Chữ nào có nghĩa ""MƯỜI""?",习,好,天,十,4,20
173,"Chữ nào có nghĩa ""HÔM QUA""?",京,名,木,昨,4,20
174,"Chữ nào có nghĩa ""CẢM ƠN, XIN LỖI, TỪ CHỐI, TÀN""?",天,星,谢,生,3,20
175,"Chữ nào có nghĩa ""NGƯỜI""?",生,十,人,习,3,20
176,"Chữ nào có nghĩa ""HỎI""?",很,小,问,是,3,20
177,"Chữ nào có nghĩa ""GỌI, KÊU""?",对,叫,饭,哪,2,20
178,"Chữ nào có nghĩa ""CỬA""?",马,那,木,门,4,20
179,"Chữ nào có nghĩa ""TRỢ TỪ SỐ NHIỀU DÙNG SAU ĐẠI TỪ HOẶC TỪ CHỈ NGƯỜI""?",们,学,文,下,1,20
180,"Chữ nào có nghĩa ""TÊN, TÊN GỌI""?",一,名,银,下,2,20
181,"Chữ nào có nghĩa ""CHỮ, VĂN TỰ""?",午,们,妈,字,4,20
182,"Chữ nào có nghĩa ""NƯỚC, QUỐC GIA""?",太,亡,谢,国,4,20
183,"Chữ nào có nghĩa ""Ở GIỮA, TRUNG TÂM""?",中,昨,语,书,1,20
184,"Chữ nào có nghĩa ""VĂN, CHỮ VIẾT""?",文,汉,了,期,1,20
185,"Chữ nào có nghĩa ""LUYỆN TẬP, HỌC""?",对,习,是,去,2,20
186,"Chữ nào có nghĩa ""PHÁT, PHÁT TRIỂN""?",马,子,生,发,4,20
187,"Chữ nào có nghĩa ""ÂM, ÂM THANH""?",音,爸,妈,八,1,20
188,"Chữ nào có nghĩa ""BẠN BÈ""?",朋,是,体,月,1,20
189,"Chữ nào có nghĩa ""SÁCH, VIẾT""?",书,关,工,妈,1,20
190,"Chữ nào có nghĩa ""CÁI, LƯỢNG TỪ""?",八,口,四,个,4,20
191,"Chữ nào có nghĩa ""TRƯA""?",马,几,午,米,3,20
192,"Chữ nào có nghĩa ""ĐẦU""?",白,校,头,五,3,20
193,"Chữ nào có nghĩa ""GẠO, MÉT""?",人,文,米,回,3,20
194,"Chữ nào có nghĩa ""ĂN""?",吃,休,亡,头,1,20
195,"Chữ nào có nghĩa ""MUỐN, CẦN, YÊU CẦU""?",学,习,头,要,4,20
196,"Chữ nào có nghĩa ""CƠM, THỨC ĂN""?",京,大,饭,期,3,20
197,"Chữ nào có nghĩa ""MỘT ÍT, VÀI, MỘT SỐ""?",子,中,国,些,4,20
198,"Chữ nào có nghĩa ""GÓI, BAO, BỌC, CHỨA ĐỰNG""?",见,包,期,六,2,20
199,"Chữ nào có nghĩa ""RƯỢU""?",不,下,酒,北,3,20
200,"Chữ nào có nghĩa ""ĐẦU, ĐỒNG (TIỀN)""?",是,日,亡,元,4,20
201,"Chữ nào có nghĩa ""LÔNG, HÀO (TIỀN)""?",上,天,毛,饭,3,20
202,"Chữ nào có nghĩa ""CHIA, PHÚT, PHÂN""?",分,了,大,马,1,20
203,Pinyin của chữ「一」là gì?,qī,xiào,yī,nà,3,15
204,Pinyin của chữ「八」là gì?,zì,tài,shàng,bā,4,15
205,Pinyin của chữ「五」là gì?,jīn,bà,wǔ,hàn,3,15
206,Pinyin của chữ「不」là gì?,duì,bù,sān,shí,2,15
207,Pinyin của chữ「大」là gì?,qī,yě,dà,xué,3,15
208,Pinyin của chữ「口」là gì?,lǎo,kǒu,jiǔ,qī,2,15
209,Pinyin của chữ「白」là gì?,xiē,ma,duì,bái,4,15
210,Pinyin của chữ「女」là gì?,xiào,jiàn,jīng,nǚ,4,15
211,Pinyin của chữ「你」là gì?,bà,míng,nǐ,zì,3,15
212,Pinyin của chữ「好」là gì?,nǚ,hǎo,bāo,zì,2,15
213,Pinyin của chữ「马」là gì?,yín,nǎ,qù,mǎ,4,15
214,Pinyin của chữ「太」là gì?,tài,mǎ,tóu,men,1,15
215,Pinyin của chữ「汉」là gì?,wáng,chī,míng,hàn,4,15
216,Pinyin của chữ「语」là gì?,xīng,yín,jiàn,yǔ,4,15
217,Pinyin của chữ「吗」là gì?,huí,ma,gè,xià,2,15
218,Pinyin của chữ「妈」là gì?,mā,xīng,yòu,mǐ,1,15
219,Pinyin của chữ「爸」là gì?,shū,bà,yín,zuò,2,15
220,Pinyin của chữ「很」là gì?,hěn,yuán,háng,èr,1,15
221,Pinyin của chữ「忙」là gì?,máng,yě,shí,nǎ,1,15
222,Pinyin của chữ「他」là gì?,bù,yào,jiào,tā,4,15
223,Pinyin của chữ「她」là gì?,nǎ,jiǔ,tā,xiè,3,15
224,Pinyin của chữ「难」là gì?,nán,tā,qù,liù,1,15
225,Pinyin của chữ「六」là gì?,rì,liù,sān,běi,2,15
226,Pinyin của chữ「七」là gì?,mǐ,bái,qī,xiē,3,15
227,Pinyin của chữ「九」là gì?,jiǔ,péng,shī,rén,1,15
228,Pinyin của chữ「学」là gì?,péng,jiǔ,xué,rén,3,15
229,Pinyin của chữ「去」là gì?,tóu,hǎo,qù,kǒu,3,15
230,Pinyin của chữ「北」là gì?,shì,běi,máo,jiǔ,2,15
231,Pinyin của chữ「京」là gì?,nǐ,hàn,shēng,jīng,4,15
232,Pinyin của chữ「对」là gì?,duì,yīn,kǒu,ma,1,15
233,Pinyin của chữ「明」là gì?,fàn,míng,wén,ma,2,15
234,Pinyin của chữ「天」là gì?,kǒu,tiān,yín,wèn,2,15
235,Pinyin của chữ「见」là gì?,duì,jiàn,wèn,kǒu,2,15
236,Pinyin của chữ「银」là gì?,qī,le,tā,yín,4,15
237,Pinyin của chữ「行」là gì?,máo,háng,sì,nán,2,15
238,Pinyin của chữ「二」là gì?,zuó,tiān,èr,chī,3,15
239,Pinyin của chữ「三」là gì?,ma,jīn,sān,bā,3,15
240,Pinyin của chữ「四」là gì?,sì,nǎ,jīn,men,1,15
241,Pinyin của chữ「今」là gì?,èr,jīn,yòu,jiǔ,2,15
242,Pinyin của chữ「关」là gì?,shì,xīng,mǎ,guān,4,15
243,Pinyin của chữ「星」là gì?,guó,shí,shàng,xīng,4,15
244,Pinyin của chữ「期」là gì?,lǎo,qī,jiǔ,wáng,2,15
245,Pinyin của chữ「几」là gì?,jǐ,xiè,sān,huí,1,15
246,Pinyin của chữ「我」là gì?,wǒ,zuò,sān,zì,1,15
247,Pinyin của chữ「工」là gì?,tǐ,fā,gōng,zì,3,15
248,Pinyin của chữ「作」là gì?,zuò,zhōng,gōng,nǎ,1,15
249,Pinyin của chữ「日」là gì?,xiǎo,háng,rì,le,3,15
250,Pinyin của chữ「是」là gì?,wáng,shì,mā,xiū,2,15
251,Pinyin của chữ「这」là gì?,zhè,xiē,dà,bù,1,15
252,Pinyin của chữ「进」là gì?,shī,gè,jiǔ,jìn,4,15
253,Pinyin của chữ「老」là gì?,xí,tǐ,bā,lǎo,4,15
254,Pinyin của chữ「师」là gì?,nǚ,shī,yuè,lǎo,2,15
255,Pinyin của chữ「身」là gì?,jìn,shēn,xià,jiàn,2,15
256,Pinyin của chữ「体」là gì?,tǐ,hǎo,jǐ,qù,1,15
257,Pinyin của chữ「上」là gì?,fēn,bù,mā,shàng,4,15
258,Pinyin của chữ「下」là gì?,tiān,háng,xià,jiàn,3,15
259,Pinyin của chữ「月」là gì?,ma,yuè,nǎ,míng,2,15
260,Pinyin của chữ「生」là gì?,běi,yīn,péng,shēng,4,15
261,Pinyin của chữ「了」là gì?,le,xué,hàn,nà,1,15
262,Pinyin của chữ「木」là gì?,gè,jiǔ,tài,mù,4,15
